,Pick1,Pick2,Pick3,Result
0,114.0,114.0,114.0,0.0
1,214.0,314.0,314.0,1.0
2,111.0,207.0,207.0,0.0
3,307.0,307.0,310.0,1.0
4,113.0,113.0,113.0,-1.0
5,114.0,114.0,114.0,0.0
6,114.0,114.0,207.0,-1.0
7,114.0,114.0,114.0,0.0
8,113.0,209.0,209.0,0.0
9,109.0,113.0,113.0,0.0
10,113.0,113.0,113.0,0.0
11,114.0,114.0,114.0,0.0
12,111.0,114.0,114.0,0.0
13,209.0,209.0,209.0,1.0
14,202.0,202.0,202.0,-1.0
15,110.0,114.0,214.0,-1.0
16,114.0,114.0,114.0,0.0
17,204.0,204.0,309.0,0.0
18,205.0,205.0,405.0,1.0
19,203.0,308.0,308.0,1.0
20,205.0,205.0,205.0,-1.0
21,114.0,214.0,214.0,-1.0
22,213.0,213.0,413.0,1.0
23,212.0,212.0,212.0,0.0
24,114.0,114.0,114.0,0.0
25,110.0,110.0,610.0,1.0
26,212.0,212.0,212.0,-1.0
27,410.0,410.0,410.0,1.0
28,212.0,212.0,212.0,0.0
29,311.0,311.0,311.0,1.0
30,109.0,113.0,113.0,0.0
31,113.0,113.0,208.0,-1.0
32,209.0,209.0,209.0,0.0
33,110.0,202.0,402.0,1.0
34,207.0,207.0,207.0,0.0
35,207.0,407.0,707.0,1.0
36,208.0,208.0,208.0,1.0
37,113.0,213.0,213.0,0.0
38,202.0,202.0,202.0,0.0
39,206.0,206.0,306.0,0.0
40,205.0,205.0,205.0,-1.0
41,212.0,312.0,712.0,1.0
42,111.0,111.0,114.0,0.0
43,212.0,212.0,212.0,-1.0
44,202.0,402.0,402.0,1.0
45,205.0,205.0,205.0,-1.0
46,112.0,112.0,112.0,0.0
47,404.0,404.0,404.0,0.0
48,403.0,403.0,703.0,1.0
49,209.0,209.0,209.0,-1.0
50,212.0,212.0,312.0,0.0
51,112.0,203.0,203.0,0.0
52,112.0,212.0,412.0,1.0
53,207.0,312.0,312.0,0.0
54,108.0,204.0,204.0,-1.0
55,213.0,213.0,213.0,-1.0
56,203.0,203.0,311.0,0.0
57,314.0,314.0,314.0,1.0
58,206.0,309.0,309.0,1.0
59,413.0,413.0,413.0,1.0
60,202.0,202.0,202.0,1.0
61,114.0,114.0,114.0,-1.0
62,211.0,211.0,211.0,1.0
63,114.0,114.0,114.0,0.0
64,211.0,211.0,211.0,0.0
65,207.0,407.0,707.0,-1.0
66,209.0,209.0,209.0,0.0
67,212.0,312.0,312.0,1.0
68,114.0,114.0,114.0,0.0
69,111.0,114.0,114.0,0.0
70,214.0,214.0,214.0,-1.0
71,114.0,114.0,114.0,0.0
72,111.0,205.0,307.0,0.0
73,209.0,209.0,209.0,0.0
74,202.0,202.0,307.0,1.0
75,206.0,206.0,206.0,0.0
76,206.0,206.0,206.0,-1.0
77,209.0,209.0,209.0,1.0
78,114.0,214.0,214.0,0.0
79,211.0,211.0,211.0,-1.0
80,114.0,203.0,203.0,0.0
81,114.0,205.0,314.0,1.0
82,112.0,114.0,614.0,-1.0
83,202.0,310.0,310.0,-1.0
84,312.0,312.0,312.0,1.0
85,113.0,113.0,113.0,0.0
86,109.0,110.0,112.0,-1.0
87,207.0,507.0,507.0,1.0
88,113.0,113.0,113.0,-1.0
89,208.0,208.0,308.0,1.0
90,207.0,207.0,207.0,0.0
91,113.0,208.0,208.0,1.0
92,205.0,205.0,205.0,1.0
93,114.0,214.0,214.0,0.0
94,214.0,214.0,214.0,1.0
95,113.0,213.0,213.0,0.0
96,207.0,307.0,703.0,1.0
97,207.0,207.0,407.0,-1.0
98,113.0,113.0,202.0,0.0
99,114.0,205.0,312.0,-1.0
100,313.0,313.0,313.0,1.0
101,209.0,309.0,309.0,1.0
102,114.0,114.0,207.0,-1.0
103,203.0,203.0,403.0,0.0
104,107.0,207.0,207.0,0.0
105,111.0,111.0,111.0,0.0
106,202.0,613.0,613.0,1.0
107,412.0,412.0,412.0,1.0
108,313.0,313.0,313.0,1.0
109,113.0,113.0,205.0,1.0
110,209.0,209.0,209.0,0.0
111,408.0,408.0,408.0,1.0
112,213.0,213.0,313.0,0.0
113,114.0,114.0,202.0,0.0
114,213.0,313.0,313.0,1.0
115,208.0,208.0,208.0,0.0
116,114.0,114.0,207.0,1.0
117,110.0,113.0,208.0,0.0
118,210.0,310.0,310.0,1.0
119,206.0,206.0,313.0,1.0
120,209.0,209.0,209.0,0.0
121,211.0,211.0,211.0,1.0
122,113.0,113.0,209.0,1.0
123,204.0,204.0,204.0,0.0
124,209.0,309.0,709.0,1.0
125,203.0,203.0,403.0,1.0
126,612.0,612.0,612.0,1.0
127,207.0,612.0,612.0,1.0
128,203.0,203.0,203.0,0.0
129,204.0,204.0,304.0,0.0
130,112.0,114.0,114.0,0.0
131,114.0,114.0,114.0,-1.0
132,114.0,114.0,202.0,1.0
133,112.0,206.0,206.0,-1.0
134,114.0,203.0,203.0,0.0
135,114.0,114.0,114.0,0.0
136,202.0,202.0,312.0,-1.0
137,110.0,113.0,209.0,0.0
138,114.0,114.0,208.0,0.0
139,114.0,206.0,206.0,0.0
140,202.0,202.0,202.0,0.0
141,210.0,210.0,210.0,0.0
142,214.0,214.0,214.0,0.0
143,208.0,208.0,308.0,1.0
144,114.0,209.0,209.0,0.0
145,212.0,212.0,312.0,1.0
146,313.0,313.0,313.0,1.0
147,214.0,214.0,214.0,1.0
148,114.0,114.0,207.0,0.0
149,208.0,208.0,208.0,1.0
150,114.0,203.0,314.0,1.0
151,112.0,114.0,614.0,-1.0
152,109.0,113.0,206.0,-1.0
153,203.0,203.0,310.0,-1.0
154,114.0,114.0,114.0,-1.0
155,113.0,113.0,114.0,-1.0
156,203.0,203.0,203.0,0.0
157,114.0,114.0,213.0,0.0
158,514.0,514.0,514.0,1.0
159,212.0,312.0,312.0,0.0
160,113.0,113.0,213.0,1.0
161,114.0,114.0,202.0,0.0
162,203.0,203.0,307.0,1.0
163,113.0,210.0,210.0,-1.0
164,214.0,314.0,314.0,0.0
165,113.0,113.0,507.0,1.0
166,114.0,114.0,114.0,0.0
167,202.0,202.0,202.0,1.0
168,207.0,207.0,307.0,1.0
169,113.0,113.0,205.0,1.0
170,113.0,113.0,113.0,0.0
171,114.0,206.0,206.0,0.0
172,203.0,203.0,203.0,0.0
173,214.0,314.0,314.0,-1.0
174,208.0,208.0,408.0,1.0
175,212.0,212.0,212.0,1.0
176,114.0,207.0,311.0,-1.0
177,212.0,212.0,212.0,0.0
178,110.0,112.0,207.0,0.0
179,114.0,114.0,114.0,0.0
180,210.0,210.0,210.0,0.0
181,208.0,208.0,208.0,0.0
182,213.0,213.0,213.0,1.0
183,202.0,202.0,311.0,-1.0
184,313.0,313.0,313.0,0.0
185,204.0,610.0,610.0,-1.0
186,212.0,212.0,212.0,0.0
187,111.0,113.0,204.0,0.0
188,111.0,205.0,506.0,1.0
189,113.0,213.0,313.0,1.0
190,205.0,205.0,205.0,0.0
191,206.0,206.0,310.0,0.0
192,312.0,312.0,312.0,1.0
193,209.0,209.0,309.0,1.0
194,204.0,204.0,307.0,1.0
195,214.0,414.0,714.0,1.0
196,411.0,411.0,411.0,1.0
197,111.0,114.0,114.0,0.0
198,113.0,114.0,114.0,0.0
199,205.0,205.0,305.0,1.0
200,202.0,202.0,202.0,1.0
201,112.0,112.0,203.0,-1.0
202,404.0,404.0,704.0,1.0
203,203.0,306.0,311.0,1.0
204,114.0,208.0,408.0,1.0
205,211.0,211.0,311.0,0.0
206,208.0,208.0,208.0,1.0
207,312.0,312.0,312.0,0.0
208,112.0,112.0,114.0,0.0
209,110.0,113.0,204.0,-1.0
210,111.0,210.0,210.0,0.0
211,206.0,206.0,206.0,0.0
212,114.0,114.0,114.0,0.0
213,314.0,314.0,314.0,1.0
214,114.0,114.0,114.0,0.0
215,203.0,307.0,703.0,-1.0
216,206.0,206.0,406.0,1.0
217,403.0,403.0,403.0,1.0
218,114.0,203.0,203.0,-1.0
219,112.0,204.0,204.0,0.0
220,214.0,214.0,414.0,1.0
221,209.0,309.0,309.0,0.0
222,113.0,113.0,213.0,1.0
223,305.0,305.0,704.0,0.0
224,213.0,213.0,313.0,1.0
225,211.0,211.0,313.0,1.0
226,114.0,214.0,214.0,1.0
227,110.0,206.0,206.0,0.0
228,113.0,113.0,202.0,-1.0
229,206.0,310.0,710.0,1.0
230,308.0,308.0,308.0,0.0
231,113.0,113.0,205.0,1.0
232,114.0,213.0,313.0,0.0
233,114.0,114.0,114.0,0.0
234,402.0,402.0,402.0,1.0
235,205.0,205.0,308.0,0.0
236,114.0,114.0,214.0,-1.0
237,213.0,213.0,313.0,1.0
238,113.0,113.0,113.0,0.0
239,203.0,203.0,203.0,-1.0
240,612.0,612.0,612.0,1.0
241,211.0,211.0,211.0,0.0
242,208.0,208.0,308.0,0.0
243,212.0,212.0,212.0,1.0
244,205.0,205.0,205.0,0.0
245,312.0,312.0,312.0,1.0
246,202.0,202.0,202.0,1.0
247,114.0,114.0,114.0,0.0
248,114.0,114.0,214.0,-1.0
249,208.0,408.0,408.0,1.0
250,208.0,208.0,208.0,-1.0
251,213.0,213.0,313.0,1.0
252,413.0,413.0,713.0,1.0
253,114.0,114.0,114.0,0.0
254,202.0,202.0,309.0,1.0
255,113.0,208.0,208.0,0.0
256,114.0,205.0,205.0,0.0
257,114.0,202.0,202.0,0.0
258,311.0,311.0,311.0,-1.0
259,109.0,109.0,206.0,1.0
260,110.0,208.0,208.0,0.0
261,114.0,205.0,314.0,1.0
262,113.0,113.0,204.0,-1.0
263,403.0,803.0,803.0,1.0
264,114.0,114.0,208.0,1.0
265,113.0,113.0,208.0,-1.0
266,207.0,307.0,613.0,1.0
267,114.0,114.0,114.0,0.0
268,114.0,205.0,205.0,1.0
269,402.0,402.0,402.0,1.0
270,110.0,110.0,114.0,0.0
271,210.0,310.0,709.0,1.0
272,209.0,209.0,209.0,0.0
273,211.0,211.0,311.0,0.0
274,211.0,411.0,411.0,1.0
275,510.0,510.0,510.0,1.0
276,114.0,114.0,114.0,0.0
277,114.0,114.0,208.0,-1.0
278,109.0,112.0,207.0,1.0
279,804.0,804.0,804.0,1.0
280,212.0,212.0,312.0,0.0
281,205.0,205.0,205.0,0.0
282,204.0,204.0,308.0,0.0
283,112.0,113.0,113.0,0.0
284,208.0,208.0,408.0,1.0
285,114.0,214.0,314.0,-1.0
286,205.0,205.0,205.0,0.0
287,112.0,112.0,114.0,-1.0
288,114.0,114.0,114.0,0.0
289,112.0,209.0,209.0,0.0
290,214.0,214.0,214.0,1.0
291,114.0,114.0,114.0,0.0
292,113.0,208.0,308.0,0.0
293,207.0,308.0,311.0,0.0
294,202.0,306.0,702.0,1.0
295,114.0,114.0,114.0,0.0
296,114.0,114.0,614.0,1.0
297,114.0,205.0,309.0,-1.0
298,111.0,113.0,211.0,0.0
299,112.0,112.0,114.0,-1.0
300,114.0,114.0,114.0,0.0
301,113.0,203.0,203.0,0.0
302,114.0,114.0,211.0,0.0
303,202.0,202.0,311.0,0.0
304,202.0,202.0,202.0,0.0
305,111.0,210.0,210.0,-1.0
306,207.0,407.0,407.0,1.0
307,209.0,309.0,309.0,-1.0
308,114.0,114.0,114.0,0.0
309,209.0,310.0,310.0,-1.0
310,310.0,710.0,710.0,1.0
311,208.0,208.0,208.0,0.0
312,113.0,212.0,212.0,1.0
313,114.0,114.0,214.0,0.0
314,113.0,113.0,113.0,-1.0
315,214.0,214.0,414.0,1.0
316,110.0,506.0,506.0,1.0
317,209.0,209.0,309.0,-1.0
318,208.0,208.0,208.0,1.0
319,210.0,310.0,310.0,1.0
320,209.0,209.0,209.0,0.0
321,112.0,203.0,312.0,-1.0
322,203.0,203.0,203.0,-1.0
323,110.0,110.0,204.0,0.0
324,109.0,109.0,114.0,0.0
325,212.0,312.0,312.0,1.0
326,211.0,211.0,211.0,0.0
327,202.0,306.0,306.0,1.0
328,403.0,403.0,703.0,0.0
329,211.0,312.0,312.0,0.0
330,210.0,210.0,210.0,1.0
331,203.0,203.0,203.0,0.0
332,207.0,207.0,407.0,1.0
333,206.0,206.0,206.0,-1.0
334,113.0,113.0,113.0,0.0
335,111.0,112.0,206.0,1.0
336,314.0,314.0,314.0,0.0
337,113.0,113.0,113.0,-1.0
338,111.0,114.0,114.0,0.0
339,204.0,311.0,311.0,0.0
340,113.0,213.0,313.0,1.0
341,402.0,802.0,802.0,1.0
342,204.0,204.0,508.0,1.0
343,114.0,114.0,114.0,0.0
344,114.0,114.0,114.0,0.0
345,113.0,113.0,113.0,-1.0
346,203.0,203.0,203.0,1.0
347,113.0,113.0,204.0,-1.0
348,213.0,213.0,313.0,-1.0
349,113.0,113.0,113.0,0.0
350,114.0,114.0,114.0,0.0
351,112.0,202.0,202.0,0.0
352,209.0,209.0,209.0,-1.0
353,114.0,210.0,210.0,1.0
354,208.0,208.0,309.0,0.0
355,214.0,214.0,214.0,1.0
356,205.0,205.0,205.0,1.0
357,508.0,508.0,508.0,1.0
358,308.0,308.0,308.0,1.0
359,114.0,114.0,514.0,1.0
360,114.0,207.0,207.0,-1.0
361,211.0,211.0,211.0,0.0
362,113.0,113.0,113.0,0.0
363,210.0,210.0,210.0,1.0
364,209.0,310.0,310.0,1.0
365,113.0,113.0,113.0,0.0
366,211.0,211.0,211.0,0.0
367,113.0,113.0,208.0,0.0
368,403.0,403.0,403.0,1.0
369,110.0,206.0,206.0,0.0
370,114.0,114.0,114.0,1.0
371,209.0,209.0,309.0,0.0
372,205.0,205.0,205.0,0.0
373,111.0,111.0,611.0,-1.0
374,214.0,214.0,214.0,1.0
375,113.0,114.0,206.0,0.0
376,210.0,210.0,210.0,1.0
377,207.0,207.0,207.0,1.0
378,114.0,211.0,211.0,1.0
379,508.0,508.0,508.0,1.0
380,208.0,308.0,308.0,1.0
381,204.0,308.0,708.0,1.0
382,210.0,210.0,310.0,1.0
383,114.0,114.0,212.0,-1.0
384,404.0,404.0,404.0,1.0
385,202.0,312.0,312.0,0.0
386,110.0,110.0,210.0,0.0
387,114.0,214.0,314.0,0.0
388,111.0,111.0,204.0,-1.0
389,212.0,412.0,514.0,1.0
390,114.0,114.0,214.0,1.0
391,113.0,205.0,305.0,0.0
392,206.0,206.0,206.0,1.0
393,210.0,410.0,710.0,0.0
394,112.0,212.0,312.0,1.0
395,203.0,203.0,203.0,0.0
396,211.0,211.0,211.0,-1.0
397,114.0,203.0,203.0,0.0
398,114.0,114.0,214.0,-1.0
399,113.0,113.0,206.0,1.0
400,114.0,114.0,213.0,1.0
401,114.0,114.0,114.0,0.0
402,213.0,213.0,313.0,1.0
403,314.0,314.0,314.0,1.0
404,205.0,205.0,205.0,1.0
405,110.0,206.0,206.0,0.0
406,114.0,205.0,205.0,0.0
407,314.0,314.0,314.0,1.0
408,209.0,209.0,309.0,1.0
409,204.0,312.0,312.0,-1.0
410,214.0,214.0,214.0,1.0
411,213.0,213.0,213.0,1.0
412,113.0,205.0,311.0,1.0
413,214.0,214.0,214.0,1.0
414,113.0,113.0,211.0,1.0
415,213.0,213.0,314.0,0.0
416,207.0,207.0,207.0,-1.0
417,206.0,314.0,314.0,0.0
418,213.0,213.0,213.0,0.0
419,206.0,206.0,306.0,1.0
420,112.0,112.0,114.0,0.0
421,211.0,211.0,211.0,1.0
422,209.0,209.0,209.0,0.0
423,204.0,311.0,311.0,1.0
424,114.0,114.0,114.0,0.0
425,204.0,404.0,404.0,1.0
426,113.0,204.0,204.0,-1.0
427,204.0,204.0,204.0,0.0
428,114.0,206.0,307.0,1.0
429,212.0,212.0,212.0,-1.0
430,208.0,208.0,208.0,1.0
431,112.0,112.0,212.0,1.0
432,113.0,113.0,213.0,1.0
433,209.0,209.0,209.0,1.0
434,114.0,114.0,114.0,0.0
435,114.0,207.0,407.0,-1.0
436,212.0,612.0,612.0,1.0
437,111.0,111.0,208.0,0.0
438,212.0,412.0,812.0,1.0
439,213.0,313.0,713.0,1.0
440,114.0,114.0,114.0,-1.0
441,213.0,213.0,313.0,-1.0
442,113.0,211.0,211.0,0.0
443,206.0,306.0,306.0,0.0
444,206.0,206.0,306.0,-1.0
445,410.0,810.0,810.0,1.0
446,109.0,113.0,204.0,0.0
447,113.0,113.0,203.0,-1.0
448,110.0,110.0,508.0,0.0
449,114.0,204.0,204.0,0.0
450,113.0,113.0,212.0,0.0
451,110.0,110.0,113.0,0.0
452,214.0,214.0,214.0,1.0
453,114.0,114.0,209.0,1.0
454,114.0,204.0,204.0,0.0
455,212.0,212.0,212.0,-1.0
456,210.0,210.0,210.0,1.0
457,112.0,112.0,210.0,0.0
458,207.0,207.0,407.0,-1.0
459,210.0,210.0,313.0,1.0
460,204.0,611.0,611.0,1.0
461,203.0,304.0,703.0,1.0
462,111.0,112.0,209.0,-1.0
463,214.0,314.0,314.0,0.0
464,113.0,113.0,113.0,1.0
465,212.0,212.0,312.0,0.0
466,112.0,113.0,211.0,-1.0
467,412.0,412.0,712.0,1.0
468,208.0,208.0,208.0,0.0
469,112.0,112.0,203.0,0.0
470,202.0,202.0,202.0,0.0
471,209.0,309.0,309.0,1.0
472,114.0,114.0,114.0,-1.0
473,114.0,114.0,114.0,0.0
474,208.0,208.0,508.0,0.0
475,214.0,414.0,814.0,1.0
476,213.0,213.0,313.0,1.0
477,113.0,211.0,211.0,-1.0
478,204.0,204.0,307.0,0.0
479,112.0,112.0,112.0,0.0
480,114.0,206.0,206.0,1.0
481,113.0,213.0,213.0,1.0
482,204.0,204.0,304.0,1.0
483,210.0,210.0,210.0,0.0
484,207.0,207.0,207.0,0.0
485,712.0,712.0,712.0,1.0
486,113.0,113.0,206.0,-1.0
487,110.0,110.0,110.0,0.0
488,206.0,206.0,206.0,0.0
489,202.0,202.0,202.0,1.0
490,410.0,410.0,710.0,1.0
491,208.0,408.0,408.0,0.0
492,204.0,404.0,404.0,1.0
493,311.0,311.0,311.0,1.0
494,213.0,213.0,213.0,0.0
495,306.0,306.0,306.0,0.0
496,205.0,205.0,205.0,0.0
497,211.0,313.0,313.0,0.0
498,111.0,111.0,111.0,0.0
499,110.0,206.0,308.0,-1.0
500,205.0,205.0,205.0,0.0
501,214.0,214.0,214.0,0.0
502,305.0,613.0,613.0,1.0
503,112.0,207.0,207.0,0.0
504,114.0,114.0,114.0,0.0
505,113.0,205.0,205.0,-1.0
506,206.0,206.0,206.0,1.0
507,402.0,402.0,702.0,1.0
508,114.0,114.0,514.0,-1.0
509,206.0,312.0,312.0,1.0
510,114.0,203.0,610.0,1.0
511,211.0,411.0,711.0,1.0
512,211.0,211.0,211.0,1.0
513,110.0,207.0,207.0,-1.0
514,114.0,114.0,114.0,0.0
515,114.0,114.0,114.0,0.0
516,213.0,213.0,213.0,0.0
517,313.0,313.0,313.0,1.0
518,114.0,114.0,114.0,-1.0
519,205.0,308.0,309.0,-1.0
520,113.0,205.0,205.0,1.0
521,113.0,208.0,208.0,1.0
522,113.0,204.0,204.0,0.0
523,205.0,205.0,205.0,1.0
524,114.0,214.0,214.0,0.0
525,202.0,202.0,202.0,1.0
526,203.0,203.0,203.0,1.0
527,212.0,212.0,212.0,1.0
528,113.0,113.0,114.0,0.0
529,305.0,305.0,312.0,-1.0
530,205.0,205.0,205.0,1.0
531,209.0,209.0,614.0,1.0
532,111.0,111.0,111.0,0.0
533,207.0,207.0,511.0,1.0
534,209.0,209.0,514.0,1.0
535,113.0,206.0,206.0,0.0
536,402.0,402.0,702.0,-1.0
537,214.0,214.0,214.0,0.0
538,112.0,210.0,210.0,0.0
539,204.0,204.0,614.0,1.0
540,208.0,208.0,312.0,0.0
541,203.0,203.0,310.0,1.0
542,202.0,202.0,307.0,-1.0
543,114.0,212.0,212.0,0.0
544,214.0,214.0,214.0,1.0
545,209.0,314.0,314.0,1.0
546,211.0,211.0,211.0,1.0
547,204.0,404.0,404.0,1.0
548,205.0,205.0,405.0,1.0
549,114.0,211.0,211.0,0.0
550,206.0,206.0,206.0,0.0
551,210.0,210.0,210.0,1.0
552,208.0,208.0,208.0,1.0
553,208.0,208.0,208.0,1.0
554,112.0,113.0,212.0,-1.0
555,207.0,407.0,407.0,0.0
556,113.0,113.0,203.0,0.0
557,113.0,208.0,208.0,0.0
558,314.0,314.0,314.0,1.0
559,214.0,214.0,414.0,0.0
560,213.0,213.0,213.0,0.0
561,114.0,114.0,114.0,0.0
562,314.0,714.0,714.0,1.0
563,207.0,207.0,307.0,1.0
564,210.0,210.0,210.0,0.0
565,205.0,205.0,308.0,0.0
566,114.0,114.0,114.0,0.0
567,113.0,208.0,208.0,0.0
568,209.0,309.0,309.0,0.0
569,203.0,203.0,203.0,1.0
570,114.0,114.0,114.0,0.0
571,214.0,214.0,214.0,1.0
572,208.0,308.0,308.0,1.0
573,113.0,209.0,209.0,1.0
574,205.0,205.0,205.0,0.0
575,114.0,114.0,114.0,0.0
576,314.0,314.0,314.0,1.0
577,211.0,211.0,314.0,-1.0
578,213.0,213.0,613.0,1.0
579,112.0,203.0,312.0,1.0
580,114.0,114.0,114.0,0.0
581,113.0,113.0,113.0,-1.0
582,214.0,214.0,214.0,0.0
583,412.0,412.0,412.0,1.0
584,202.0,314.0,702.0,1.0
585,409.0,409.0,409.0,1.0
586,213.0,213.0,313.0,1.0
587,202.0,202.0,202.0,0.0
588,112.0,202.0,309.0,1.0
589,114.0,114.0,205.0,0.0
590,113.0,205.0,205.0,-1.0
591,202.0,202.0,202.0,-1.0
592,206.0,206.0,206.0,0.0
593,404.0,404.0,404.0,1.0
594,112.0,114.0,205.0,-1.0
595,112.0,112.0,209.0,-1.0
596,112.0,112.0,204.0,-1.0
597,212.0,212.0,212.0,1.0
598,404.0,404.0,404.0,0.0
599,214.0,214.0,414.0,1.0
600,207.0,207.0,207.0,1.0
601,114.0,212.0,212.0,1.0
602,209.0,209.0,209.0,0.0
603,114.0,114.0,208.0,-1.0
604,202.0,314.0,314.0,1.0
605,111.0,111.0,208.0,1.0
606,111.0,111.0,211.0,0.0
607,211.0,311.0,311.0,0.0
608,114.0,205.0,205.0,-1.0
609,404.0,404.0,404.0,0.0
610,114.0,212.0,312.0,1.0
611,114.0,211.0,211.0,1.0
612,114.0,114.0,114.0,1.0
613,211.0,211.0,211.0,0.0
614,112.0,113.0,513.0,1.0
615,114.0,203.0,203.0,0.0
616,407.0,707.0,707.0,-1.0
617,211.0,211.0,411.0,1.0
618,209.0,209.0,614.0,1.0
619,112.0,205.0,405.0,-1.0
620,112.0,512.0,512.0,1.0
621,206.0,206.0,314.0,1.0
622,402.0,402.0,402.0,1.0
623,208.0,208.0,208.0,1.0
624,114.0,114.0,114.0,-1.0
625,114.0,114.0,114.0,0.0
626,205.0,205.0,205.0,-1.0
627,204.0,306.0,306.0,1.0
628,313.0,313.0,313.0,1.0
629,204.0,204.0,204.0,1.0
630,212.0,212.0,212.0,0.0
631,113.0,202.0,202.0,0.0
632,114.0,114.0,114.0,0.0
633,614.0,614.0,614.0,-1.0
634,207.0,207.0,207.0,1.0
635,114.0,202.0,202.0,0.0
636,113.0,113.0,113.0,0.0
637,107.0,114.0,508.0,1.0
638,410.0,410.0,410.0,1.0
639,113.0,205.0,311.0,0.0
640,206.0,306.0,312.0,-1.0
641,114.0,209.0,209.0,1.0
642,111.0,205.0,508.0,-1.0
643,204.0,204.0,204.0,1.0
644,112.0,112.0,614.0,1.0
645,208.0,208.0,208.0,0.0
646,202.0,202.0,202.0,0.0
647,308.0,308.0,308.0,1.0
648,114.0,114.0,202.0,-1.0
649,114.0,114.0,114.0,0.0
650,204.0,204.0,204.0,1.0
651,204.0,305.0,305.0,-1.0
652,110.0,113.0,202.0,-1.0
653,206.0,314.0,314.0,-1.0
654,212.0,312.0,312.0,1.0
655,408.0,408.0,408.0,0.0
656,209.0,209.0,309.0,0.0
657,413.0,413.0,713.0,1.0
658,112.0,206.0,206.0,0.0
659,114.0,213.0,213.0,0.0
660,212.0,212.0,312.0,1.0
661,207.0,308.0,708.0,1.0
662,209.0,309.0,309.0,1.0
663,111.0,111.0,111.0,0.0
664,111.0,113.0,113.0,0.0
665,109.0,109.0,204.0,0.0
666,112.0,112.0,210.0,1.0
667,209.0,313.0,313.0,1.0
668,303.0,303.0,303.0,1.0
669,211.0,211.0,211.0,1.0
670,114.0,214.0,214.0,0.0
671,114.0,209.0,209.0,0.0
672,212.0,212.0,212.0,0.0
673,112.0,112.0,507.0,1.0
674,207.0,313.0,313.0,-1.0
675,114.0,207.0,313.0,-1.0
676,111.0,111.0,204.0,0.0
677,211.0,211.0,614.0,-1.0
678,112.0,112.0,114.0,-1.0
679,112.0,208.0,208.0,0.0
